GROUP WARANTY,MAIN PRODUCT,TYPE,GROUP,SERIES,SUB SERIES,Thai / Asia (Except Japan),,,Europe / Japan / USA / Australia,,,Item number,Property,Product name,Search name,Item remark,Text production,Production pool,Item group,Unit
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX362-265TRC-10-859,859,GAS TOP LINE,HO\CBR 125 '04>/CBR 150 '00>/CBR 150 R '05>,,M-H/TO.10x25/BO.10x25 DEGREE  -/225/0/0/300/BB /PRE-6 /REB-15/COM-15/ALL NEW,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX362-265TRC-14-858,858,GAS TOP LINE,YAM\YZF R 15 '14 (RACING),,M-MH/TO.10x32/BO.FORK 33xM10/PRE-6/REB-15/COM-15/ HOSE -/270/0/90/350/BB,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX362-265TRC-17-858,858,GAS TOP LINE,YAM\M-SLAZ 150 '15-17,,M-MH/TO.10x32 (=10x30+WASHER 2 PCS.)/BO.FORK 32x10 DEGREE  -/270/0/90/300/BB /PRE-5 /REB-15/COM-S,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX362-265TRC-17-859,859,GAS TOP LINE,YAM\M-SLAZ 150 '15-17,,M-MH/TO.10x32 (=10x30+WASHER 2 PCS.)/BO.FORK 32x10 DEGREE  -/270/0/90/300/BB /PRE-5 /REB-15/COM-S,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX362-285TRCJ-01-858,858,GAS TOP LINE,SUZ\RAIDER 150'04>,,M-H/TO.10x25/BO.10x25-O-EYE+20/PRE-7/REB-15/CO-15/X -/225/0/0/300/BB/ALL NEW,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX362-285TRCJ-01-859,859,GAS TOP LINE,SUZ\RAIDER 150'04>,,M-H/TO.10x25/BO.10x25-O-EYE+20/PRE-7/REB-15/CO-15/X -/225/0/0/300/BB/ALL NEW,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX362-300TRCL-23-858,858,GAS TOP LINE,MUZ\ SKORPION 660  '94-02,,M-H/TO.12x40/BO.FORK 30x12MM/DEGREE -/ 90/270/0/300/BB /PRE-17 /REB-15/COM-L-10/ปรับเกลียวขึ้น 5 MM.,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX362-300TRCL-23-859,859,GAS TOP LINE,MUZ\ SKORPION 660  '94-02,ECR001290,M-H/TO.12x40/BO.FORK 30x12MM/DEGREE -/ 90/270/0/300/BB /PRE-17 /REB-15/COM-L-10/ปรับเกลียวขึ้น 5 MM.,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX362-310TRC-48-888,888,GAS TOP LINE,PEDALO\QUAD '14>,,M-SP/TO.10x30/BO.12x30/PRE-10/REB-15/CO-15 X -/90/180/0/360/BB /ถ้าเป็น ORDER FOR MATTIES - แถม BUSH 12x20 4 PCS. ใช้ BOM-R51 SPRING ยิง CODE รหัส-M ตาม และไม่ใส่คู่มือ ABE,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX362-310TRC-48-889,889,GAS TOP LINE,PEDALO\QUAD '14>,ถ้าเป็น ORDER FOR MATTIES ใช้ BOM-R40 SPRING ยิง CODE รหัส-M ตาม WI.LASER_DOC_STANDARD FOR MATTHIES PRODUCTS_DOC-COP1-MKT-5-281 Rev B,M-SP/TO.10x30/BO.12x30/PRE-10/REB-15/CO-15 X -/90/180/0/360/BB /ถ้าเป็น ORDER FOR MATTIES - แถม BUSH 12x20 4 PCS. ใช้ BOM-R51 SPRING ยิง CODE รหัส-M ตาม และไม่ใส่คู่มือ ABE,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-210TRC-03-858,858,GAS TOP LINE,YAM\SNIPER 135/JUPITER MX 135/SPARK 135 MX '05>,ECR001293 ปรับ CLAMP/ECR001283 CHANGE O-EYE,M-HH/TO.10x25/BO.10x25 EYE W-SIDE 26x18x52-45 DEGREE/สาย -/225/0/0/300/BB /PRE-5 /REB-15/COM-15/BLACK RESERVOIR/(PRE- HK.CYCLE -8 MM/GREECE -10MM.),6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-210TRC-04-858,858,GAS TOP LINE,YAM\EXCITER 150 '15>,,M-HH/TO.10x25/BO.10x25/EYE W-SIDE 26x18x52-45 DEGREE/สาย -/225/40/225/300/BB /PRE-5 /REB-15/COM-L-15,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-210TRC-04-859,859,GAS TOP LINE,YAM\EXCITER 150 '15>,ECR001283 CHANGE O-EYE,M-HH/TO.10x25/BO.10x25/EYE W-SIDE 26x18x52-45 DEGREE/สาย -/225/40/225/300/BB /PRE-5 /REB-15/COM-L-15,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-215TRC-01-858,858,GAS TOP LINE,HO\NSR 50 '88-89,,M-HH/TO.10x19/BO.10x19/PRE-4/REB-15/HOSE -/225/0/0/300/BB,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-215TRC-01-859,859,GAS TOP LINE,HO\NSR 50 '88-89,,M-HH/TO.10x19/BO.10x19/PRE-4/REB-15/ HOSE -/225/0/0/300/BB/ALL NEW,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-215TRC-04-858,858,GAS TOP LINE,HO\NSF 100 '88-07,,M-H/TO.10x19/BO.10x19//PRE-4 /REB-15/CO-15/ HOSE -/100/270/330/165/BB/ALL NEW,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-215TRC-04-859,859,GAS TOP LINE,HO\NSF 100 '88-07,,M-H/TO.10x19/BO.10x19//PRE-4 /REB-15/CO-15/ HOSE -/100/270/330/165/BB/ALL NEW,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-240TRC-01-858,858,GAS TOP LINE,KAW\KSR-110 RIDER '05>,,M-H/TO.10x20/BO.10x30/HOSE -/225/0/0/300/BB/PRE-4/REB-15,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-240TRC-01-859,859,GAS TOP LINE,KAW\KSR-110 RIDER '05>,ECR001107 ปรับ SPEC,M-H/TO.10x20/BO.10x30/HOSE -/225/0/0/300/BB/PRE-4/REB-15,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-240TRC-01-888,888,GAS TOP LINE,KAW\KSR-110 RIDER '05>,,M-H/TO.10x20/BO.10x30/HOSE -/225/0/0/300/BB/PRE-4/REB-15,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-240TRC-01-889,889,GAS TOP LINE,KAW\KSR-110 RIDER '05>,ECR001107 ปรับ SPEC,M-H/TO.10x20/BO.10x30/HOSE -/225/0/0/300/BB/PRE-4/REB-15,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-250TRC-26-858,858,GAS TOP LINE,GPX\ DEMON 150 GR '19,,M-H/TO.12x30/BO.12x30/PRE-6/REB-15/COM-15/HOSE -/225/0/180/410/BB,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-250TRC-26-859,859,GAS TOP LINE,GPX\ DEMON 150 GR '19,,M-H/TO.12x30/BO.12x30/PRE-6/REB-15/COM-15/HOSE -/225/0/180/410/BB,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-255TRC-19-858,858,GAS TOP LINE,HO\NS50R '87-95,,M-MH/TO.8x24/BO.8x24/PRE-6/REB-15/COM-15/HOSE -/90/0/90/220/BB,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-255TRC-19-859,859,GAS TOP LINE,HO\NS50R '87-95,,M-MH/TO.8x24/BO.8x24/PRE-6/REB-15/COM-15/HOSE -/90/0/90/220/BB,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-260TRC-02-858,858,GAS TOP LINE,HO\NSR 150 SP (PRO ARM) '92-02,,M-H/TO.10x25/BO.10x28 /PRE-4/RE-15/CO-15/HOSE  X -/195/0/0/300/BB,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-260TRC-02-859,859,GAS TOP LINE,HO\NSR 150 SP (PRO ARM) '92-02,,M-H/TO.10x25/BO.10x28 /PRE-4/RE-15/CO-15/HOSE  X -/195/0/0/300/BB,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-260TRC-11-858,858,GAS TOP LINE,YAM\TZR250 3XV1 '91>,,M-MH/TO.10x30/BO.12x30/PRE-8/REB-15/CO-15/X=-/90/270/0/360/BB,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-260TRC-11-859,859,GAS TOP LINE,YAM\TZR250 3XV1 '91>,,M-MH/TO.10x30/BO.12x30/PRE-8/REB-15/CO-15/X=-/90/270/0/360/BB,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-265TRC-19-858,858,GAS TOP LINE,YAM\YZF-R15 150 '17,,M-MH/TO.10x32/BO.FORK 33xM10/PRE-10/REB-15/COM-H-L-16/HOSE -/270/0/0/380/BB,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-265TRC-19-859,859,GAS TOP LINE,YAM\YZF-R15 150 '17,,M-MH/TO.10x32/BO.FORK 33xM10/PRE-10/REB-15/COM-H-L-16/HOSE -/270/0/0/380/BB,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-265TRCJ-10-858,858,GAS TOP LINE,HO\CBR 125 `04>/CBR 150 `00>/CBR 150 R `05>,,M-H/TO.10x25/BO.10x25/HOSE -/225/0/0/300/BB /PRE-6 /REB-15 /COM-15/RETAINER( -10)RESERVOIR-BLACK/ALL NEW(คลายเกลียวให้ได้ความยาว),6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-265TRCL-10-858,858,GAS TOP LINE,HO\CBR 125 `04>/CBR 150 `00>/CBR 150 R `05>,ADD R50,M-H/TO.10x25/BO.10x25/HOSE -/225/0/0/300/BB /PRE-6 /REB-15 /COM-15/RETAINER( -10)RESERVOIR-BLACK/ALL NEW(คลายเกลียว 5 MM. คลายเกลียวให้ได้ความยาว)),6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-270TRCL-06-858,858,GAS TOP LINE,HO\JADE 250 '91-95,,M-H/TO.10x30/BO.10x32/PRE-6/REB-15/CO-15/ X -/270/0/225/600/BB/ปรับเกลียวขึ้น 5 MM.,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-270TRCL-06-859,859,GAS TOP LINE,HO\JADE 250 '91-95,,M-H/TO.10x30/BO.10x32/PRE-6/REB-15/CO-15/ X -/270/0/225/600/BB/ปรับเกลียวขึ้น 5 MM.,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-275TRC-11-858,858,GAS TOP LINE,YAM\R1 Z '91>,,M-MH/TO.10x40/BO.FORK 30x12 SP./PRE-10/REB-15/COM-S/DEGREE -/270/270/0/500/BB,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-275TRC-11-859,859,GAS TOP LINE,YAM\R1 Z '91>,24-05-17 ปรับตำแหน่ง POSITION องศาใหม่ให้ตรงกับ WI,M-MH/TO.10x40/BO.FORK 30x12 SP./PRE-10/REB-15/COM-S/DEGREE -/270/270/0/500/BB,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-280TRC-21-858,858,GAS TOP LINE,HO\CBR 250 RR '90-00,,M-H/TO.10x28/BO.FORK 32x10MM./PRE-10/REB-15/HOSE-/135/0/180/260/BB,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-280TRC-21-859,859,GAS TOP LINE,HO\CBR 250 RR '90-00,,M-H/TO.10x28/BO.FORK 32x10MM./PRE-10/REB-15/HOSE-/135/0/180/260/BB,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-280TRC-21-888,888,GAS TOP LINE,HO\CBR 250 RR '90-00,,M-H/TO.10x28/BO.FORK 32x10MM./PRE-10/REB-15/HOSE-/135/0/180/260/BB,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-280TRC-21-889,889,GAS TOP LINE,HO\CBR 250 RR '90-00,,M-H/TO.10x28/BO.FORK 32x10MM./PRE-10/REB-15/HOSE-/135/0/180/260/BB,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-280TRCJ18-858,858,GAS TOP LINE,YAM\YZF R25 '14>/YZF R3 '15>/MT-03 '16>,,M-H/TO.12x35/BO.12x60/PRE-7/REB-15/HOSE -/90/180/0/350/BB(Z-EYE),6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-280TRCJ18-859,859,GAS TOP LINE,YAM\YZF R25 '14>/YZF R3 '15>/MT-03 '16>,,M-H/TO.12x35/BO.12x60/PRE-7/REB-15/HOSE -/90/180/0/350/BB(Z-EYE),6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-280TRCJ-24-858,858,GAS TOP LINE,KAW\AR 50 '81-83,,M-MH/TO.FORK 26x10+Z-NUT/BO.10x20/PRE-10/REB-15/HOSE 180/220/180/135/300/BB (NEW HOSE),6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-280TRCJ-24-859,859,GAS TOP LINE,KAW\AR 50 '81-83,ทำใหม่ เนื่องจาก IT ดึงไปโปรแกรมใหม่ไม่หมด,M-MH/TO.FORK 26x10+Z-NUT/BO.10x20/PRE-10/REB-15/HOSE 180/220/180/135/300/BB (NEW HOSE),6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-280TRCL-18-858,858,GAS TOP LINE,YAM\YZF R25 '14>/YZF R3 '15>/MT-03 '16>,,M-H/TO.12x35/BO.12x60/PRE-7/REB-15/HOSE -/90/180/0/350/BB/ปรับเกลียวขึ้น 5 MM.(Z-EYE),6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-280TRCL-18-859,859,GAS TOP LINE,YAM\YZF R25 '14>/YZF R3 '15>/MT-03 '16>,,M-H/TO.12x35/BO.12x60/PRE-7/REB-15/HOSE -/90/180/0/350/BB/ปรับเกลียวขึ้น 5 MM.(Z-EYE),6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-280TRCL-18-888,888,GAS TOP LINE,YAM\YZF R25 '14>/YZF R3 '15>/MT-03 '16>,,M-H/TO.12x35/BO.12x60/PRE-7/REB-15/HOSE -/90/180/0/350/BB/ปรับเกลียวขึ้น 5 MM.(Z-EYE),6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-280TRCL-18-889,889,GAS TOP LINE,YAM\YZF R25 '14>/YZF R3 '15>/MT-03 '16>,,M-H/TO.12x35/BO.12x60/PRE-7/REB-15/HOSE -/90/180/0/350/BB/ปรับเกลียวขึ้น 5 MM.(Z-EYE),6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-280TRCL-26-858,858,GAS TOP LINE,HO\CB 300 R '18,,M-SP/TO.10x30/BO.10x29=28+30/PRE-7/REB-15/COM-L-15/COM-H-15/HOSE -/135/0/0/380/BB/ปรับเกลียวขึ้น 5 MM./ให้ SET PRELOAD ด้านล่าง,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-280TRCL-26-859,859,GAS TOP LINE,HO\CB 300 R '18,,M-SP/TO.10x30/BO.10x29=28+30/PRE-7/REB-15/COM-L-15/COM-H-15/HOSE -/135/0/0/380/BB/ปรับเกลียวขึ้น 5 MM./ให้ SET PRELOAD ด้านล่าง,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-285TRC-27-858,858,GAS TOP LINE,GPX\GENTLEMAN 200 '19,,M-M/TO.10x40 H+20/BO.10x30/PRE-6/REB-15/COM-15/HOSE -/225/90/0/410/BB,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-285TRC-27-859,859,GAS TOP LINE,GPX\GENTLEMAN 200 '19,,M-M/TO.10x40 H+20/BO.10x30/PRE-6/REB-15/COM-15/HOSE -/225/90/0/410/BB,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-285TRCJ-01-858,858,GAS TOP LINE,SUZ\RAIDER 150 '04>/SATRIA F 150 '05>,,M-H/TO.10x25/BO.10x25-O-EYE+20/PRE-7/REB-15/COM-15/HOSE -/225/0/0/300/BB/ALL NEW คลายเกลียวให้ได้ L-285,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-285TRCL-21-858,858,GAS TOP LINE,SUZ\GSX-R 150 '17-18,,M-MH/TO.10x25/BO.FORK 30x10MM/PRE-12/REB-15/COM-15/HOSE -/225/0/0/300/BB/ปรับเกลียว 2.5 MM.,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-285TRCL-21-859,859,GAS TOP LINE,SUZ\GSX-R 150 '17-18,เนื่องจากประกอบงานให้ MR.ACNER ความยาว ORVER K.NARONGKORN .ให้ปรับเกลียวแค่ 2.5_16-7-18,M-MH/TO.10x25/BO.FORK 30x10MM/PRE-12/REB-15/COM-15/HOSE -/225/0/0/300/BB / ปรับเกลียว 2.5 MM (HOSE NEW),6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-285TRCL-24-858,858,GAS TOP LINE,KAW\ZXR250 '94,,M-MH/TO.12x28/BO.FORK 28x12MM./PRE-18/REB-15/HOSE -/90/0/180/520/BB/ปรับเกลียวขึ้น 3MM.,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-285TRCL-24-859,859,GAS TOP LINE,KAW\ZXR250 '94,ตาม DWG.KASSAWIN,M-MH/TO.12x28/BO.FORK 28x12MM./PRE-18/REB-15/HOSE -/90/0/180/520/BB/ปรับเกลียวขึ้น 3 MM.,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-290TRCL-28-858,858,GAS TOP LINE,"YAM\RD 350 F,N,YPVS '83>/RD 250F,N,YPVS '80-85",,M-SP/TO.12x40/BO.20x43/PRE-17/REB-15/HOSE -/-/270/0/400/BR/ปรับเกลียวขึ้น 5 MM.(ใช้สายทวิส ร้อย O-RING ที่ BOTTOM 2 ตัว),6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-290TRCL-28-859,859,GAS TOP LINE,"YAM\RD 350 F,N,YPVS '83>/RD 250F,N,YPVS '80-85",ECR001276 ยกเลิกการแถมO-RING 2 PCS.เนื่องกจากปรับเป็น VITONแล้ว,M-SP/TO.12x40/BO.20x43/PRE-17/REB-15/HOSE -/-/270/0/400/BR/ปรับเกลียวขึ้น 5 MM.(ใช้สายทวิส ร้อย O-RING ที่ BOTTOM 2 ตัว),6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-295TRC-14-858,858,GAS TOP LINE,HO\CBR 250 R '11,,M-MH/TO.10x30/BO.FORK 32x10MM./X -/270/0/0/300/BB /PRE-10 /REB-15,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-295TRC-14-859,859,GAS TOP LINE,HO\CBR 250 R '11,,M-MH/TO.10x30/BO.FORK 32x10MM./X -/270/0/0/300/BB /PRE-10 /REB-15,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-295TRCJ-14-858,858,GAS TOP LINE,HO\CBR 250 R '11,,M-MH/TO.10x30 Z-UPPER NUT 0/-/-/-/- /BO.FORK 32x10MM./HOSE-/270/0/0/300/B-B/PRE-10/REB-15,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-295TRCJ-14-859,859,GAS TOP LINE,HO\CBR 250 R '11,,M-MH/TO.10x30 Z-UPPER NUT 0/-/-/-/- /BO.FORK 32x10MM / HOSE-/270/0/0/300/B-B/PRE-10 /REB-15,6124,FG-SHOCK,PCS.
2. TOPLINE,SHOCK ABSORBER,GAS,TOP LINE,TOP LINE,TOP LINE,2 years,X,Inserted Card,2 years,X,Inserted Card,MX366-295TRCJ-14-888,888,GAS TOP LINE,HO\CBR 250 R '11-15,,M-MH/TO.10x30 Z-UPPER NUT 0/-/-/-/- /BO.FORK 32x10MM./ HOSE-/270/0/0/300/B-B/PRE-10 /REB-15,6124,FG-SHOCK,PCS.
