GROUP WARANTY,MAIN PRODUCT,TYPE,GROUP,SERIES,SUB SERIES,Thai / Asia (Except Japan),,,Europe / Japan / USA / Australia,,,Item number,Property,Product name,Search name,Item remark,Text production,Production pool,Item group,Unit
 CARTRIDGE KIT,CARTRIDGE,GAS,CLOSED CARTRIDGE,CLOSED CARTRIDGE KIT,CLOSED CARTRIDGE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,CC308-700TRC-01,,GAS CLOSED CARTRIDGE KIT,KAW\ZX 6R 600  '10-16,ECR001785,แถม FORK SPRING 2 PAIR (SOFT+HARD)+FORK FLUID 1 LITRE,6124,FG-CARTRID,PAIR
 CARTRIDGE KIT,CARTRIDGE,GAS,CLOSED CARTRIDGE,CLOSED CARTRIDGE KIT,CLOSED CARTRIDGE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,CC308-705TRC-01,,GAS CLOSED CARTRIDGE KIT,KAW\ZX10 RR1000 '16-19/ZX10 R '16-19/ZX 10 R KRT '19-20/SUZ\GSXR 1000 R '17-20,ECR001785,แถม FORK SPRING 2 PAIR (SOFT+HARD)+FORK FLUID 1 LITRE,6124,FG-CARTRID,PAIR
 CARTRIDGE KIT,CARTRIDGE,GAS,CLOSED CARTRIDGE,CLOSED CARTRIDGE KIT,CLOSED CARTRIDGE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,CC308-705TRC-02,,GAS CLOSED CARTRIDGE KIT,YAM\YZF R1 1000 '09-14,ECR001785,แถม FORK SPRING 2 PAIR (SOFT+HARD)+FORK FLUID 1 LITRE,6124,FG-CARTRID,PAIR
 CARTRIDGE KIT,CARTRIDGE,GAS,CLOSED CARTRIDGE,CLOSED CARTRIDGE KIT,CLOSED CARTRIDGE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,CC308-710TRC-01,,GAS CLOSED CARTRIDGE KIT,BMW\S1000RR '19>,,แถม FORK SPRING 2 PAIR (SOFT+HARD)+FORK FLUID 1 LITRE,6124,FG-CARTRID,PAIR
 CARTRIDGE KIT,CARTRIDGE,GAS,CLOSED CARTRIDGE,CLOSED CARTRIDGE KIT,CLOSED CARTRIDGE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,CC308-720TRC-01,,GAS CLOSED CARTRIDGE KIT,YAM\R1 M  1000 '15-19,ECR001785,แถม FORK SPRING 2 PAIR (SOFT+HARD)+FORK FLUID 1 LITRE,6124,FG-CARTRID,PAIR
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC21-KIT-01-002,,HYD FORK UPGRADE KIT,HO\CLICK 125i  '12-17,ECR001539/ปรับ BOM 30-09-19,BOM-R1-NEW SET 4-10-17,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC21-KIT-01-003,,HYD FORK UPGRADE KIT,HO\WAVE 110i '13>,ECR001539/ปรับ BOM 30-09-19,BOM-R1-NEW SET 4-10-17,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC21-KIT-01-004,,HYD FORK UPGRADE KIT,HO\ WAVE 125i '13>,,BOM-R1-NEW SET 4-10-17,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC21-KIT-01-020,,HYD FORK UPGRADE KIT,HO\CLICK 150i '18>/CLICK 125  '18>,ECR001539/ปรับ BOM 30-09-19,,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC21-KIT-01-023,,HYD FORK UPGRADE KIT,HO\SUPER CUB C125 '18>,,,6127,FG-CARTRID,SET
